HIP	Cst	Bayer
42570	Vel	b    
42536	Vel	omi  
42806	Cnc	gam  
42795	Cnc	A01  
42624	Vel	n    
42799	Hya	eta  
42568	Car	d    
42835	Hya	F    
42425	Vol	the  
42911	Cnc	del  
42954	Cnc	     
42917	Cnc	b    
42828	Pyx	alf  
42931	Hya	     
43100	Cnc	iot  
43103	Cnc	iot  
42834	Vel	D    
42884	Vel	d    
43121	Cnc	A02  
43109	Hya	eps  
43067	Hya	D    
42913	Vel	del  
43023	Vel	a    
43234	Hya	rho  
43105	Car	f    
43305	Hya	     
42637	Cha	eta  
43644	UMa	b    
43531	Lyn	     
43454	Cnc	     
43463	Cnc	     
43325	Vel	h    
43409	Pyx	gam  
43584	Cnc	sig01
43347	Vel	g    
43575	Cnc	     
43587	Cnc	rho01
43496	Hya	     
42794	Cha	     
43413	Vel	f    
43903	UMa	     
43721	Cnc	     
43834	Cnc	rho02
43811	Cnc	X    
43813	Hya	zet  
43851	Cnc	     
43822	Hya	     
      	Hya	     
43932	Cnc	sig02
43825	Pyx	del  
43970	Cnc	omi01
44031	Cnc	     
44001	Cnc	omi02
44127	UMa	iot  
43783	Car	c    
44066	Cnc	alf  
43878	Vel	H    
44154	Cnc	sig03
44390	UMa	rho  
44248	UMa	     
43937	Car	b01  
44307	Cnc	     
44342	Cnc	     
44191	Vel	w    
44471	UMa	kap  
44405	Cnc	nu.  
44143	Car	b02  
44512	Cnc	     
44857	UMa	sig01
44659	Hya	ome  
44511	Vel	c    
44382	Vol	alf  
45038	UMa	sig02
44901	UMa	f    
44818	Cnc	tau  
44798	Cnc	kap  
44838	Cnc	     
45075	UMa	tau  
      	UMa	tau  
44892	Cnc	     
44946	Cnc	ksi  
44824	Pyx	kap  
44883	Hya	     
44816	Vel	lam  
45058	Cnc	RS   
45033	Cnc	     
44961	Hya	     
44626	Car	E    
44599	Car	G    
45001	Pyx	eps  
45153	Cnc	     
45333	UMa	c    
45170	Cnc	     
45290	Lyn	     
45184	Hya	     
45080	Car	a    
45455	UMa	     
45493	UMa	e    
45101	Car	i    
45336	Hya	the  
45410	Cnc	pi.  
45344	Vel	z    
45386	Vel	k01  
43908	Oct	zet  
45527	Hya	     
45439	Vel	l    
45526	Hya	     
45448	Vel	k    
45238	Car	bet  
45688	Lyn	     
45588	Hya	     
45699	Cnc	     
45496	Car	g    
45836	Lyn	     
45556	Car	iot  
45631	Vel	K    
45860	Lyn	alf  
45751	Hya	     
45811	Hya	P    
45902	Pyx	the  
45856	Car	k    
46146	Leo	kap  
46026	Pyx	lam  
45941	Vel	kap  
46221	Hya	     
46471	Lyn	     
46365	Hya	     
46390	Hya	alf  
46371	Hya	G    
46283	Vel	I    
46454	Leo	ome  
46457	Leo	     
46733	UMa	h    
46509	Hya	tau01
46652	LMi	     
46515	Ant	eps  
47013	UMa	     
46735	LMi	     
46977	UMa	d    
46750	Leo	lam  
46853	UMa	the  
46774	Leo	h    
46657	Ant	zet01
      	Ant	zet01
46771	Leo	ksi  
46651	Vel	psi  
46776	Hya	tau02
46734	Ant	zet02
46904	LMi	     
46107	Cha	iot  
47006	UMa	     
46952	LMi	     
46701	Vel	N    
46982	Hya	A    
47080	LMi	     
      	Car	R    
47096	Leo	     
46950	Vel	L    
46741	Car	H    
46974	Car	h    
47189	Leo	     
47205	Leo	     
47247	Leo	     
47300	Lyn	     
47266	Leo	     
47249	Hya	     
47310	Sex	     
47175	Vel	M    
47654	UMa	     
47267	Vel	y    
47431	Hya	iot  
47427	Hya	     
47452	Hya	kap  
47570	Lyn	     
47508	Leo	omi  
      	Leo	omi  
47550	Leo	     
47391	Car	m    
47631	LMi	     
47522	Hya	I    
46928	Cha	zet  
47701	Leo	f    
47911	UMa	     
47723	Leo	psi  
47965	Lyn	     
47758	Ant	the  
47908	Leo	eps  
47973	LMi	     
47717	Vel	O    
47959	Leo	     
48029	Leo	     
48113	LMi	     
      	Leo	R    
47854	Car	l    
48319	UMa	ups  
48256	LMi	     
48218	Leo	     
48002	Car	ups  
      	Car	ups  
48273	Sex	     
48402	UMa	phi  
48324	Leo	     
48224	Vel	u    
48341	Sex	     
48390	Leo	g    
47956	Cha	nu.  
48356	Hya	ups01
48455	Leo	mu.  
48414	Sex	     
48437	Sex	gam  
48374	Vel	m    
48552	Sex	     
48682	UMa	     
48742	LMi	     
48833	LMi	     
48883	Leo	nu.  
48774	Vel	phi  
48990	Sex	     
48926	Ant	eta  
      	Car	RR   
49029	Leo	pi.  
49081	LMi	     
49329	Sex	     
49402	Hya	ups02
49530	Sex	     
49593	LMi	     
49583	Leo	eta  
49637	Leo	A    
49641	Sex	alf  
49669	Leo	alf  
49065	Cha	mu.  
49812	Sex	     
49712	Vel	Q    
49841	Hya	lam  
49865	Sex	     
49326	Cha	mu.02
49929	Leo	     
49751	Car	S    
50027	Sex	     
50222	UMa	U    
50100	Sex	     
50140	Sex	     
50218	LMi	     
50191	Vel	q    
50303	LMi	     
50083	Car	M    
50448	UMa	     
50316	LMi	     
50319	Leo	     
50372	UMa	lam  
50335	Leo	zet  
50333	Leo	     
50099	Car	ome  
50384	Leo	     
50414	Sex	eps  
50371	Car	q    
50564	Leo	     
50583	Leo	gam01
      	Leo	gam02
50684	Sex	     
50801	UMa	mu.  
50755	Leo	     
50676	Vel	J    
50860	LMi	     
50851	Leo	     
50799	Vel	r    
50935	LMi	     
50885	Sex	     
51047	LMi	     
51008	Leo	     
50847	Car	L    
51056	LMi	     
51069	Hya	mu.  
51117	Sex	     
51135	Sex	     
51233	LMi	bet  
51213	Leo	     
50954	Car	I    
51172	Ant	alf  
51401	UMa	     
51192	Car	P    
51459	UMa	     
51420	LMi	     
51232	Car	s    
51362	Sex	del  
51376	Ant	del  
51437	Sex	bet  
51451	Sex	     
51556	LMi	     
51585	Leo	     
51624	Leo	rho  
51523	Vel	Y    
51561	Vel	s    
51685	LMi	     
51614	Hya	phi01
51438	Car	K    
51576	Car	p    
51814	UMa	     
51635	Vel	t    
51718	Hya	     
51775	Leo	     
51802	Leo	     
51914	LMi	     
51821	Ant	U    
51905	Hya	phi02
51849	Car	r    
52032	LMi	     
52009	Hya	U    
51912	Car	t01  
52098	LMi	     
51986	Vel	p    
52139	LMi	     
52085	Hya	phi  
51839	Cha	gam  
52102	Car	t02  
52353	UMa	     
52154	Vel	x    
52316	Sex	     
52478	UMa	     
52401	Sex	     
      	UMa	R    
52422	LMi	     
52457	LMi	     
52452	Sex	     
52419	Car	the  
52468	Car	w    
52650	UMa	     
52584	Sex	     
52685	UMa	     
52638	LMi	     
52660	Sex	     
52686	Leo	m    
52689	Leo	k    
      	Car	eta  
52737	Hya	b01  
52727	Vel	mu.  
52882	LMi	     
52911	Leo	l    
52913	Sex	     
52959	LMi	     
52595	Cha	del01
52943	Hya	nu.  
52633	Cha	del02
53043	UMa	     
53064	UMa	     
52980	Sex	     
53261	UMa	     
53229	LMi	     
53295	UMa	ome  
53252	Hya	b03  
53273	Leo	p01  
53355	LMi	     
53377	LMi	     
53253	Car	u    
53426	UMa	     
53417	Leo	     
      	Leo	     
53423	Leo	     
53449	Leo	     
53492	LMi	     
53394	Car	T    
53502	Ant	iot  
53721	UMa	     
53740	Crt	alf  
53838	UMa	     
53807	Leo	d    
53773	Vel	i    
53824	Leo	c    
53910	UMa	bet  
53907	Leo	p02  
53954	Leo	b    
54061	UMa	alf  
54049	Leo	p03  
54136	UMa	     
54196	LMi	     
54182	Leo	chi  
53702	Oct	eta  
54204	Hya	chi01
54255	Hya	chi02
54347	LMi	     
54336	Leo	p04  
54388	Leo	     
54301	Car	z    
54487	Leo	     
54539	UMa	psi  
54463	Car	x    
54461	Car	z02  
54682	Crt	bet  
54742	Crt	psi  
54751	Car	y    
54849	Leo	p05  
54872	Leo	del  
54879	Leo	the  
54951	Leo	     
55016	Leo	n    
55084	Leo	phi  
55137	Leo	     
55203	UMa	ksi  
      	UMa	ksi  
55219	UMa	nu.  
55266	UMa	     
55249	Leo	     
55282	Crt	del  
55434	Leo	sig  
55425	Cen	pi.  
55533	Leo	     
55560	UMa	     
55598	Crt	lam  
55642	Leo	iot  
55650	Leo	     
55687	Crt	eps  
55705	Crt	gam  
55765	Leo	     
55791	Leo	     
55846	Leo	     
55874	Crt	kap  
55945	Leo	tau  
56034	UMa	     
56080	Leo	     
56148	UMa	     
56127	Leo	e    
56146	Leo	     
56211	Dra	lam  
56242	Leo	     
56243	Cen	omi01
56250	Cen	omi02
56280	Crt	     
      	Crt	     
56343	Hya	ksi  
56445	Leo	     
56473	Leo	     
56480	Cen	A    
56583	Dra	     
56518	Cen	C01  
56573	Cen	C02  
56561	Cen	lam  
56633	Crt	the  
56647	Leo	ups  
56700	Cen	C03  
56770	UMa	     
56675	Cha	pi.  
56789	UMa	     
56779	Vir	ome  
56802	Crt	iot  
56922	Hya	omi  
56975	Leo	     
56997	UMa	     
57029	UMa	     
57111	Dra	     
57283	Crt	zet  
57328	Vir	ksi  
57380	Vir	nu.  
57399	UMa	chi  
57363	Mus	lam  
57565	Leo	     
57562	Vir	A01  
57581	Mus	mu.  
57632	Leo	bet  
57669	Cen	j    
57757	Vir	bet  
57803	Cen	B    
57936	Hya	bet  
58001	UMa	gam  
58112	UMa	     
58110	Vir	A02  
58117	UMa	     
58159	Leo	o    
58181	UMa	     
58188	Crt	eta  
58484	Cha	eps  
58510	Vir	b    
58590	Vir	pi.  
58587	Crt	     
58661	Com	     
58684	UMa	     
58758	Cru	the01
58799	Cen	     
58858	Com	     
58867	Cru	the02
58905	Cha	kap  
58948	Vir	omi  
59072	Cru	eta  
59184	Cen	E    
59196	Cen	del  
59199	Crv	alf  
59285	Vir	     
59309	Vir	     
59316	Crv	eps  
59352	Com	     
59394	Crv	     
59449	Cen	rho  
59468	Com	     
59458	UMa	     
59501	Com	     
59551	Mus	S    
59608	Vir	     
59654	Cen	D    
59708	CVn	     
59747	Cru	del  
59774	UMa	del  
59803	Crv	gam  
59819	Com	     
59831	CVn	     
59847	Com	     
59929	Mus	eps  
60000	Cha	bet  
60009	Cru	zet  
60030	Vir	     
60059	Cen	F    
60087	Com	     
      	Crv	R    
60098	Com	     
60129	Vir	eta  
60122	CVn	     
60123	Com	     
60172	Vir	c    
60189	Crv	zet  
60202	Com	     
60260	Cru	eps  
60212	UMa	     
60320	Mus	zet02
60329	Mus	zet01
60351	Com	     
      	Com	     
60353	Vir	     
60425	Crv	     
60449	Cen	x01  
60467	CVn	     
60485	CVn	     
60514	Com	     
60610	Cen	x02  
60584	UMa	     
60646	CVn	     
60718	Cru	alf01
      	Cru	alf02
      	Cru	     
60710	Cen	G    
60697	Com	     
60712	UMa	     
60742	Com	gam  
60746	Com	     
60823	Cen	sig  
60795	UMa	     
60855	Cen	u    
60891	Com	     
60904	Com	     
60941	Com	     
60957	Com	     
60965	Crv	del  
60978	UMa	     
60988	CVn	     
60992	UMa	     
61084	Cru	gam  
60998	Dra	     
      	Cru	gam  
61071	Com	     
61136	Cru	     
61199	Mus	gam  
61174	Crv	eta  
61246	Vir	     
61295	Com	     
61318	Vir	q    
61317	CVn	bet  
61404	Mus	BO   
61359	Crv	bet  
61281	Dra	kap  
61394	Com	     
61415	Com	     
61418	Com	     
61384	Dra	     
61585	Mus	alf  
61558	Vir	f    
      	UMa	T    
61571	Com	     
61622	Cen	tau  
      	Vir	R    
61692	CVn	     
61740	Vir	chi  
61724	Com	     
61789	Cen	l    
61932	Cen	gam  
61981	Mus	R    
61966	Cru	     
61937	Vir	     
61941	Vir	gam  
      	Vir	gam  
61960	Vir	rho  
61969	Vir	     
61968	Vir	d01  
62012	Cen	w    
61936	UMa	     
62268	Cru	iot  
62322	Mus	bet  
62207	CVn	     
62223	CVn	Y    
62267	Vir	d02  
62325	Vir	     
62356	Com	     
62434	Cru	bet  
62394	Vir	     
62443	Vir	     
62478	Com	     
62423	Dra	     
62541	Com	     
62516	CVn	     
62576	Com	     
63031	Oct	iot  
62683	Cen	p    
62757	Vir	     
62763	Com	     
62807	Com	     
62867	Cen	e    
62896	Cen	n    
62931	Cru	kap  
62875	Vir	     
62886	Com	     
63007	Cru	lam  
63005	Cru	mu.02
63003	Cru	mu.01
62933	Vir	     
62985	Vir	psi  
62956	UMa	eps  
63024	CVn	TU   
63090	Vir	del  
63210	Cen	H    
63121	CVn	alf01
63125	CVn	alf02
63076	Dra	     
63152	Dra	RY   
63355	Com	     
63414	Vir	k    
63613	Mus	del  
63462	Com	     
63494	Vir	     
63432	Dra	     
63533	Com	     
63503	UMa	     
63608	Vir	eps  
63724	Cen	ksi01
63750	Vir	     
63945	Cen	f    
64004	Cen	ksi02
63901	CVn	     
63948	Com	     
63950	Com	     
64094	Mus	the  
64022	Com	     
64078	Vir	     
64122	Vir	g    
64166	Hya	psi  
64224	Vir	     
64238	Vir	the  
64217	CVn	     
64241	Com	alf  
      	Com	alf  
64246	CVn	     
64407	Vir	     
64394	Com	bet  
64520	Vir	     
64661	Mus	eta  
64577	Vir	     
64625	Vir	     
64725	Vir	     
64692	CVn	     
64803	Cen	r    
64792	Vir	e    
64852	Vir	sig  
64844	CVn	     
64924	Vir	     
64962	Hya	gam  
64906	CVn	     
65109	Cen	iot  
65074	Vir	     
65072	CVn	     
65271	Cen	J    
65241	Vir	     
65387	Cen	m    
65468	Mus	iot01
65301	Vir	     
65323	Vir	     
65420	Vir	     
65628	Mus	iot02
65378	UMa	zet  
      	UMa	zet  
65474	Vir	alf  
65477	UMa	g    
65581	Vir	i    
65639	Vir	     
65810	Cen	K    
65721	Vir	     
65835	Hya	R    
65790	Vir	     
66753	Oct	kap  
65892	Vir	     
65936	Cen	d    
66015	Vir	     
66006	Vir	l    
66091	Vir	     
66098	Vir	h    
      	Vir	S    
66131	Vir	     
66200	Vir	o    
66247	Vir	y    
66249	Vir	zet  
66198	UMa	     
66320	Vir	     
66234	CVn	     
66458	CVn	     
66657	Cen	eps  
66821	Cen	Q    
66634	UMa	     
66727	Boo	     
66825	Cen	T    
66763	Boo	     
66803	Vir	m    
66738	UMa	     
66936	Vir	     
67057	Vir	     
67153	Cen	i    
67139	Vir	     
67234	Cen	M    
67172	Vir	     
67244	Cen	z    
67288	Vir	     
67239	Boo	     
67275	Boo	tau  
67231	UMa	     
67464	Cen	nu.  
67301	UMa	eta  
67457	Cen	g    
67472	Cen	mu.  
67494	Vir	     
67459	Boo	ups  
      	CVn	R    
67480	Boo	e    
67703	Cen	N    
67669	Cen	k    
      	Cen	k    
67786	Cen	h    
67819	Cen	y    
67787	Boo	     
67627	Dra	i    
68002	Cen	zet  
67929	Vir	p    
67927	Boo	eta  
67848	UMa	     
68092	Vir	     
68103	Boo	     
68245	Cen	phi  
68282	Cen	ups01
68269	Hya	     
68276	Boo	     
68390	Hya	     
68523	Cen	ups02
68815	Aps	the  
68478	Boo	     
68520	Vir	tau  
68702	Cen	bet  
68862	Cen	chi  
68895	Hya	pi.  
68933	Cen	the  
68888	Vir	     
68940	Vir	     
68756	Dra	alf  
69127	Vir	     
69068	Boo	     
69896	Aps	eta  
69226	Boo	d    
68956	UMi	     
69415	Hya	     
69427	Vir	kap  
69112	UMi	     
69536	Boo	     
      	Cen	R    
69481	Boo	kap01
69483	Boo	kap02
69612	Boo	     
70248	Aps	eps  
69701	Vir	iot  
70638	Oct	del  
69673	Boo	alf  
69713	Boo	iot  
69732	Boo	lam  
69829	Vir	     
69996	Lup	iot  
69929	Vir	CS   
70069	Cen	v    
69974	Vir	lam  
69879	Boo	A    
69989	Boo	     
70012	Vir	ups  
70090	Cen	psi  
70027	Boo	     
70300	Cen	a    
70306	Hya	k    
70336	Lib	     
70574	Lup	tau01
70576	Lup	tau02
70497	Boo	the  
70602	Boo	f    
70680	Vir	     
70753	Hya	l    
70755	Vir	phi  
70794	Vir	     
70791	Boo	g    
71121	Lup	sig  
71053	Boo	rho  
70692	UMi	     
71115	Boo	     
71075	Boo	gam  
71352	Cen	eta  
71284	Boo	sig  
71500	Lup	a    
71536	Lup	rho  
      	Boo	R    
71683	Cen	alf  
71908	Cir	alf  
71618	Boo	     
71860	Lup	alf  
72370	Aps	alf  
71865	Cen	b    
71762	Boo	pi.01
      	Boo	pi.02
71795	Boo	zet  
      	Boo	zet  
71832	Boo	     
71837	Boo	     
71974	Lib	     
72010	Cen	c01  
71957	Vir	mu.  
72104	Cen	c02  
71995	Boo	W    
72290	Lup	b    
72197	Hya	m    
72154	Vir	     
72125	Boo	omi  
72194	Lib	     
72105	Boo	eps  
      	Boo	eps  
72220	Vir	     
72323	Hya	     
72357	Hya	     
72378	Hya	     
72489	Lib	mu.  
73540	Oct	pi.01
72571	Hya	E    
72683	Lup	omi  
72603	Lib	alf01
72622	Lib	alf02
72487	Boo	h    
72631	Lib	     
72524	Boo	     
72965	Cir	zet  
73223	Aps	R    
72659	Boo	ksi  
73771	Oct	pi.02
72929	Lib	     
73129	Cir	the  
72934	Lib	ksi01
73095	Lup	c    
74296	Oct	ome  
72607	UMi	bet  
73133	Lib	ksi02
73165	Lib	     
73273	Lup	bet  
73193	Ser	M    
73334	Cen	kap  
73284	Hya	     
73249	Lib	     
73310	Lib	     
73473	Lib	del  
73369	Boo	     
73199	UMi	RR   
73566	Hya	     
73776	Cir	eta  
73536	Ser	     
73136	UMi	     
73568	Boo	ome  
73620	Vir	     
73555	Boo	bet  
73714	Lib	sig  
73807	Lup	pi.  
      	Lup	pi.  
73745	Boo	psi  
73440	UMi	     
73695	Boo	i    
73945	Lib	nu.  
73953	Lib	     
74117	Lup	lam  
73841	Boo	k    
73996	Boo	c    
74087	Boo	b    
74376	Lup	kap01
74380	Lup	kap02
74395	Lup	zet  
74449	Lup	e    
74392	Lib	iot  
74493	Lib	     
74500	Lib	     
74604	Lup	i    
74600	Lib	     
74778	Cir	del  
74837	Cir	eps  
74824	Cir	bet  
74946	TrA	gam  
74649	Ser	     
74596	Boo	chi  
74689	Ser	     
74666	Boo	del  
74911	Lup	mu.  
74785	Lib	bet  
74857	Lup	f    
74975	Ser	     
75141	Lup	del  
75206	Lup	nu.01
75181	Lup	nu.02
75110	Lib	     
75118	Lib	omi  
75323	Cir	gam  
75177	Lup	phi01
75264	Lup	eps  
75049	CrB	omi  
75119	Ser	     
75304	Lup	phi02
74793	UMi	     
      	CrB	S    
75294	Lib	     
75230	Ser	     
75178	Boo	     
75439	Lup	ups  
75342	Ser	     
75379	Lib	eps  
75501	Lup	k    
75312	CrB	eta  
      	CrB	eta  
76996	Oct	rho  
76013	Aps	kap01
75411	Boo	mu.01
75415	Boo	mu.02
75097	UMi	gam  
75530	Ser	tau01
75152	UMi	     
75730	Lib	     
75458	Dra	iot  
75761	Ser	     
75695	CrB	bet  
75848	Lib	     
75944	Lib	     
75973	Boo	nu.01
76126	Lib	zet  
76069	Ser	tau02
76440	TrA	eps  
76133	Ser	A01  
76041	Boo	nu.02
76259	Lib	     
76297	Lup	gam  
76219	Lib	     
76127	CrB	the  
76371	Lup	d    
76750	Aps	kap02
76333	Lib	gam  
76276	Ser	del  
      	Ser	del  
76267	CrB	alf  
76470	Lib	ups  
76337	Ser	tau03
76552	Lup	ome  
76427	Ser	     
76307	CrB	mu.  
76425	Ser	     
76423	Ser	tau04
76424	Ser	tau05
76600	Lib	tau  
76628	Lib	     
76705	Lup	psi01
76534	Boo	phi  
76742	Lib	     
76829	Lup	g    
76008	UMi	the  
75809	UMi	pi.01
75829	UMi	pi.01
76669	CrB	zet01
76669	CrB	zet02
76939	Lup	h    
76880	Lib	kap  
76945	Lup	psi02
76810	Ser	tau06
76852	Ser	iot  
76866	Ser	chi  
76878	Ser	tau07
77060	Lib	eta  
76952	CrB	gam  
77052	Ser	psi  
77070	Ser	alf  
77048	CrB	pi.  
77111	Ser	tau08
77227	Ser	A02  
77233	Ser	bet  
77257	Ser	lam  
77336	Ser	ups  
77464	Ser	     
77450	Ser	kap  
77516	Ser	mu.  
77442	CrB	R    
77634	Lup	chi  
77635	Sco	b    
76695	UMi	pi.02
77578	Ser	ome  
77512	CrB	del  
77982	TrA	kap  
77622	Ser	eps  
      	Ser	R    
77660	Ser	b    
77952	TrA	bet  
77661	Ser	rho  
77655	CrB	kap  
77811	Lib	lam  
77055	UMi	zet  
77840	Sco	A    
77853	Lib	the  
77801	Ser	     
77909	Sco	     
77760	Her	chi  
77939	Lib	     
77984	Sco	     
77910	Ser	     
78105	Lup	ksi01
78106	Lup	ksi02
78104	Sco	rho  
77907	Her	     
78072	Ser	gam  
78012	CrB	lam  
77986	Her	     
78132	Ser	phi  
78207	Lib	     
78265	Sco	pi.  
78159	CrB	eps  
78384	Lup	eta  
78401	Sco	del  
78400	Lib	     
      	CrB	T    
78436	Lib	     
78662	Nor	iot01
78639	Nor	eta  
78481	Her	r    
78459	CrB	rho  
78493	CrB	iot  
78554	Ser	pi.  
78685	Ser	     
78727	Sco	ksi  
      	Sco	ksi  
78914	Nor	del  
78574	Her	X    
78592	Her	ups  
78820	Sco	bet01
78821	Sco	bet02
78527	Dra	the  
78918	Lup	the  
78933	Sco	ome01
79153	Nor	iot02
78990	Sco	ome02
79005	Sco	     
79007	Ser	     
79047	Ser	     
79045	Her	kap  
79043	Her	kap  
79072	Ser	     
79102	Her	     
79119	CrB	tau  
79497	Nor	zet  
80047	Aps	del01
79490	Nor	     
80057	Aps	del02
79101	Her	phi  
79509	Nor	kap  
79404	Sco	c02  
79399	Sco	c01  
      	Sco	nu.  
79374	Sco	nu.  
79664	TrA	del  
79375	Sco	psi  
79387	Sco	     
78661	UMi	     
79332	Her	q    
79248	Her	     
79349	Her	     
79653	Nor	the  
79488	Her	     
79540	Sco	chi  
79492	Ser	     
79593	Oph	del  
79790	Nor	gam01
79672	Sco	     
79634	Her	     
79607	CrB	sig  
      	CrB	sig  
79666	Her	     
79881	Sco	d    
79963	Nor	lam  
80000	Nor	gam02
79757	CrB	ups  
79882	Oph	eps  
79280	UMi	     
79889	Her	     
80079	Sco	omi  
79420	UMi	     
80112	Sco	sig  
79992	Her	tau  
80179	Ser	sig  
80170	Her	gam  
80686	TrA	zet  
81065	Aps	gam  
80181	CrB	ksi  
80343	Oph	psi  
80197	CrB	nu.01
80214	CrB	nu.02
80645	TrA	iot  
80247	Her	     
80351	Her	o    
80473	Oph	rho  
      	Oph	rho  
80582	Nor	eps  
79822	UMi	eta  
80463	Her	ome  
80569	Oph	chi  
      	Her	U    
80460	Her	     
80628	Oph	ups  
80331	Dra	eta  
80763	Sco	alf  
80815	Sco	i    
80911	Sco	N    
80704	Her	g    
80894	Oph	phi  
80816	Her	bet  
80883	Oph	lam  
81252	TrA	the  
80843	Her	s    
80975	Oph	ome  
81122	Nor	mu.  
80809	Her	     
81007	Her	n    
80927	Her	     
81008	Her	h    
80650	Dra	A    
81852	Aps	bet  
81066	Her	     
81266	Sco	tau  
81304	Sco	H    
81126	Her	sig  
81300	Oph	     
81710	TrA	eta01
81589	Ara	R    
81377	Oph	zet  
81290	Dra	     
81292	Dra	     
      	Dra	     
81641	Her	     
81634	Her	     
81724	Sco	     
81497	Her	     
81734	Oph	     
81693	Her	zet  
81729	Her	     
82273	TrA	alf  
81833	Her	eta  
81991	Her	     
81660	Dra	g    
82037	Oph	     
82140	Sco	     
82073	Her	i    
82363	Ara	eta  
82162	Oph	     
82216	Her	l    
      	Oph	     
82396	Sco	eps  
82369	Oph	     
82514	Sco	mu.01
82324	Her	     
82402	Her	k    
82545	Sco	mu.02
82321	Her	     
82480	Oph	     
82422	Her	     
82671	Sco	zet01
      	Her	S    
82526	Her	     
82504	Her	     
82729	Sco	zet02
      	Sco	RS   
82587	Her	     
82730	Oph	     
82673	Oph	iot  
82912	Sco	RR   
83081	Ara	zet  
82960	Sco	     
82925	Oph	     
82780	Her	     
82802	Her	     
83153	Ara	eps01
83000	Oph	kap  
82987	Her	     
83196	Oph	     
83431	Ara	eps02
82860	Dra	h    
83262	Oph	     
82898	Dra	     
83331	Oph	     
82080	UMi	eps  
83207	Her	eps  
83313	Her	d    
83574	Sco	k    
83430	Oph	     
83462	Her	     
83613	Her	     
      	Oph	R    
83608	Dra	mu.  
      	Dra	mu.  
83838	Her	c    
84012	Oph	eta  
84143	Sco	eta  
84054	Her	     
84177	Oph	     
83895	Dra	zet  
84405	Oph	A    
      	Oph	A    
84345	Her	alf01
      	Her	alf02
84379	Her	del  
84979	Aps	iot  
84500	Oph	U    
84514	Oph	     
84969	Aps	zet  
84380	Her	pi.  
84626	Oph	omi  
84625	Oph	omi  
84573	Her	u    
84671	Oph	e    
84606	Her	e    
84893	Oph	ksi  
84880	Ser	nu.  
84496	Dra	VW   
85035	Sco	V636 
85079	Ara	iot  
84970	Oph	the  
84887	Her	     
84862	Her	w    
85084	Oph	     
85258	Ara	bet  
85267	Ara	gam  
84835	Her	     
85312	Ara	kap  
85157	Her	     
85112	Her	rho  
      	Her	rho  
85340	Oph	b    
85423	Oph	d    
85365	Oph	     
85355	Oph	sig  
85727	Ara	del  
85696	Sco	ups  
85379	Her	x    
85792	Ara	alf  
85755	Oph	c    
85693	Her	lam  
85927	Sco	lam  
85790	Her	     
85670	Dra	bet  
86092	Ara	sig  
86060	Oph	     
86170	Sco	Q    
85998	Oph	f    
86305	Ara	pi.  
86228	Sco	the  
85819	Dra	nu.01
85829	Dra	nu.02
86032	Oph	alf  
86263	Ser	ksi  
85805	Dra	f    
86284	Oph	mu.  
86486	Ara	lam  
86254	Her	     
86036	Dra	     
86182	Her	y    
85852	Dra	     
86670	Sco	kap  
86565	Ser	omi  
86929	Pav	eta  
86796	Ara	mu.  
86414	Her	iot  
86736	Oph	     
86201	Dra	ome  
86667	Her	     
86742	Oph	bet  
86731	Her	     
86831	Oph	     
87073	Sco	iot01
87072	Sgr	X    
87314	Ara	ups01
86974	Her	mu.  
87108	Oph	gam  
87261	Sco	G    
87294	Sco	iot02
87379	Ara	ups02
86614	Dra	psi  
86620	Dra	psi  
87194	Her	     
87212	Dra	     
87495	Oph	Y    
87280	Her	z    
87706	Oph	     
87563	Her	f    
87747	Her	     
87585	Dra	ksi  
87808	Her	the  
88048	Oph	nu.  
88116	Sgr	     
87234	Dra	     
87850	Her	OP   
87933	Her	ksi  
87833	Dra	gam  
87998	Her	nu.  
88175	Ser	zet  
88149	Oph	     
88128	Her	     
88192	Oph	     
88258	Sgr	     
92824	Oct	chi  
88290	Oph	     
88380	Sgr	     
87728	Dra	     
88267	Her	     
      	Her	     
88404	Oph	tau  
      	Oph	tau  
88469	Sgr	     
88331	Her	     
88346	Her	     
88567	Sgr	W    
88714	Ara	the  
88866	Pav	pi.  
88635	Sgr	gam  
88522	Oph	V986 
88601	Oph	p    
89042	Pav	iot  
88657	Her	     
88765	Oph	     
88771	Oph	     
88745	Her	b    
88794	Her	omi  
88818	Her	     
88817	Her	     
89112	Tel	eps  
88886	Her	     
85822	UMi	del  
88899	Her	     
88964	Oph	     
89153	Sgr	     
88127	Dra	     
88136	Dra	     
85699	UMi	     
89341	Sgr	mu.  
89172	Her	A    
89369	Sgr	     
89440	Sgr	     
89439	Sgr	     
90133	Oct	phi  
89567	Sgr	     
89642	Sgr	eta  
89637	Sgr	RS   
89348	Dra	     
90098	Pav	ksi  
89931	Sgr	del  
89773	Her	     
89968	Sgr	Y    
89448	Dra	     
89918	Oph	     
89861	Her	     
89962	Ser	eta  
89826	Lyr	kap  
89925	Her	     
89935	Her	t    
90185	Sgr	eps  
89594	Dra	     
90135	Sct	zet  
90260	Sgr	     
90139	Her	     
90289	Sgr	     
90422	Tel	alf  
90191	Lyr	mu.  
90568	Tel	zet  
90496	Sgr	lam  
90797	Pav	nu.  
90441	Ser	d    
      	Ser	d    
89908	Dra	phi  
90156	Dra	b    
89937	Dra	chi  
90595	Sct	gam  
90830	Tel	del01
90642	Ser	c    
